date,store,item,sales
2023-01-01,Store-1,Jacket,43
2023-01-01,Store-1,Sweater,34
2023-01-01,Store-1,Boots,27
2023-01-01,Store-1,Jeans,24
2023-01-01,Store-1,Tshirt,27
2023-01-01,Store-1,Scarf,25
2023-01-01,Store-2,Jacket,48
2023-01-01,Store-2,Sweater,40
2023-01-01,Store-2,Boots,29
2023-01-01,Store-2,Jeans,28
2023-01-01,Store-2,Tshirt,31
2023-01-01,Store-2,Scarf,27
2023-01-01,Store-3,Jacket,39
2023-01-01,Store-3,Sweater,33
2023-01-01,Store-3,Boots,27
2023-01-01,Store-3,Jeans,21
2023-01-01,Store-3,Tshirt,27
2023-01-01,Store-3,Scarf,23
2023-01-02,Store-1,Jacket,40
2023-01-02,Store-1,Sweater,33
2023-01-02,Store-1,Boots,24
2023-01-02,Store-1,Jeans,19
2023-01-02,Store-1,Tshirt,23
2023-01-02,Store-1,Scarf,23
2023-01-02,Store-2,Jacket,44
2023-01-02,Store-2,Sweater,36
2023-01-02,Store-2,Boots,25
2023-01-02,Store-2,Jeans,24
2023-01-02,Store-2,Tshirt,27
2023-01-02,Store-2,Scarf,26
2023-01-02,Store-3,Jacket,37
2023-01-02,Store-3,Sweater,31
2023-01-02,Store-3,Boots,22
2023-01-02,Store-3,Jeans,17
2023-01-02,Store-3,Tshirt,22
2023-01-02,Store-3,Scarf,22
2023-01-03,Store-1,Jacket,40
2023-01-03,Store-1,Sweater,29
2023-01-03,Store-1,Boots,25
2023-01-03,Store-1,Jeans,21
2023-01-03,Store-1,Tshirt,26
2023-01-03,Store-1,Scarf,22
2023-01-03,Store-2,Jacket,39
2023-01-03,Store-2,Sweater,32
2023-01-03,Store-2,Boots,25
2023-01-03,Store-2,Jeans,24
2023-01-03,Store-2,Tshirt,29
2023-01-03,Store-2,Scarf,22
2023-01-03,Store-3,Jacket,34
2023-01-03,Store-3,Sweater,32
2023-01-03,Store-3,Boots,23
2023-01-03,Store-3,Jeans,19
2023-01-03,Store-3,Tshirt,21
2023-01-03,Store-3,Scarf,20
2023-01-04,Store-1,Jacket,38
2023-01-04,Store-1,Sweater,33
2023-01-04,Store-1,Boots,23
2023-01-04,Store-1,Jeans,20
2023-01-04,Store-1,Tshirt,26
2023-01-04,Store-1,Scarf,23
2023-01-04,Store-2,Jacket,39
2023-01-04,Store-2,Sweater,32
2023-01-04,Store-2,Boots,27
2023-01-04,Store-2,Jeans,22
2023-01-04,Store-2,Tshirt,26
2023-01-04,Store-2,Scarf,25
2023-01-04,Store-3,Jacket,32
2023-01-04,Store-3,Sweater,30
2023-01-04,Store-3,Boots,21
2023-01-04,Store-3,Jeans,19
2023-01-04,Store-3,Tshirt,23
2023-01-04,Store-3,Scarf,22
2023-01-05,Store-1,Jacket,37
2023-01-05,Store-1,Sweater,29
2023-01-05,Store-1,Boots,27
2023-01-05,Store-1,Jeans,18
2023-01-05,Store-1,Tshirt,23
2023-01-05,Store-1,Scarf,21
2023-01-05,Store-2,Jacket,43
2023-01-05,Store-2,Sweater,33
2023-01-05,Store-2,Boots,30
2023-01-05,Store-2,Jeans,25
2023-01-05,Store-2,Tshirt,29
2023-01-05,Store-2,Scarf,24
2023-01-05,Store-3,Jacket,36
2023-01-05,Store-3,Sweater,28
2023-01-05,Store-3,Boots,23
2023-01-05,Store-3,Jeans,17
2023-01-05,Store-3,Tshirt,23
2023-01-05,Store-3,Scarf,23
2023-01-06,Store-1,Jacket,38
2023-01-06,Store-1,Sweater,32
2023-01-06,Store-1,Boots,24
2023-01-06,Store-1,Jeans,22
2023-01-06,Store-1,Tshirt,25
2023-01-06,Store-1,Scarf,24
2023-01-06,Store-2,Jacket,38
2023-01-06,Store-2,Sweater,39
2023-01-06,Store-2,Boots,30
2023-01-06,Store-2,Jeans,22
2023-01-06,Store-2,Tshirt,30
2023-01-06,Store-2,Scarf,23
2023-01-06,Store-3,Jacket,32
2023-01-06,Store-3,Sweater,30
2023-01-06,Store-3,Boots,23
2023-01-06,Store-3,Jeans,19
2023-01-06,Store-3,Tshirt,21
2023-01-06,Store-3,Scarf,20
2023-01-07,Store-1,Jacket,39
2023-01-07,Store-1,Sweater,37
2023-01-07,Store-1,Boots,29
2023-01-07,Store-1,Jeans,26
2023-01-07,Store-1,Tshirt,31
2023-01-07,Store-1,Scarf,27
2023-01-07,Store-2,Jacket,48
2023-01-07,Store-2,Sweater,38
2023-01-07,Store-2,Boots,32
2023-01-07,Store-2,Jeans,30
2023-01-07,Store-2,Tshirt,34
2023-01-07,Store-2,Scarf,26
2023-01-07,Store-3,Jacket,38
2023-01-07,Store-3,Sweater,38
2023-01-07,Store-3,Boots,25
2023-01-07,Store-3,Jeans,21
2023-01-07,Store-3,Tshirt,26
2023-01-07,Store-3,Scarf,23
2023-01-08,Store-1,Jacket,39
2023-01-08,Store-1,Sweater,37
2023-01-08,Store-1,Boots,29
2023-01-08,Store-1,Jeans,22
2023-01-08,Store-1,Tshirt,32
2023-01-08,Store-1,Scarf,24
2023-01-08,Store-2,Jacket,42
2023-01-08,Store-2,Sweater,38
2023-01-08,Store-2,Boots,30
2023-01-08,Store-2,Jeans,28
2023-01-08,Store-2,Tshirt,35
2023-01-08,Store-2,Scarf,26
2023-01-08,Store-3,Jacket,36
2023-01-08,Store-3,Sweater,37
2023-01-08,Store-3,Boots,30
2023-01-08,Store-3,Jeans,21
2023-01-08,Store-3,Tshirt,29
2023-01-08,Store-3,Scarf,27
2023-01-09,Store-1,Jacket,36
2023-01-09,Store-1,Sweater,33
2023-01-09,Store-1,Boots,26
2023-01-09,Store-1,Jeans,21
2023-01-09,Store-1,Tshirt,23
2023-01-09,Store-1,Scarf,22
2023-01-09,Store-2,Jacket,39
2023-01-09,Store-2,Sweater,32
2023-01-09,Store-2,Boots,26
2023-01-09,Store-2,Jeans,25
2023-01-09,Store-2,Tshirt,32
2023-01-09,Store-2,Scarf,26
2023-01-09,Store-3,Jacket,33
2023-01-09,Store-3,Sweater,33
2023-01-09,Store-3,Boots,22
2023-01-09,Store-3,Jeans,18
2023-01-09,Store-3,Tshirt,23
2023-01-09,Store-3,Scarf,22
2023-01-10,Store-1,Jacket,39
2023-01-10,Store-1,Sweater,30
2023-01-10,Store-1,Boots,25
2023-01-10,Store-1,Jeans,20
2023-01-10,Store-1,Tshirt,27
2023-01-10,Store-1,Scarf,22
2023-01-10,Store-2,Jacket,40
2023-01-10,Store-2,Sweater,39
2023-01-10,Store-2,Boots,27
2023-01-10,Store-2,Jeans,23
2023-01-10,Store-2,Tshirt,31
2023-01-10,Store-2,Scarf,26
2023-01-10,Store-3,Jacket,33
2023-01-10,Store-3,Sweater,28
2023-01-10,Store-3,Boots,21
2023-01-10,Store-3,Jeans,17
2023-01-10,Store-3,Tshirt,25
2023-01-10,Store-3,Scarf,22
2023-01-11,Store-1,Jacket,37
2023-01-11,Store-1,Sweater,33
2023-01-11,Store-1,Boots,25
2023-01-11,Store-1,Jeans,18
2023-01-11,Store-1,Tshirt,27
2023-01-11,Store-1,Scarf,25
2023-01-11,Store-2,Jacket,45
2023-01-11,Store-2,Sweater,34
2023-01-11,Store-2,Boots,26
2023-01-11,Store-2,Jeans,23
2023-01-11,Store-2,Tshirt,29
2023-01-11,Store-2,Scarf,27
2023-01-11,Store-3,Jacket,38
2023-01-11,Store-3,Sweater,32
2023-01-11,Store-3,Boots,23
2023-01-11,Store-3,Jeans,18
2023-01-11,Store-3,Tshirt,23
2023-01-11,Store-3,Scarf,23
2023-01-12,Store-1,Jacket,36
2023-01-12,Store-1,Sweater,35
2023-01-12,Store-1,Boots,26
2023-01-12,Store-1,Jeans,19
2023-01-12,Store-1,Tshirt,24
2023-01-12,Store-1,Scarf,21
2023-01-12,Store-2,Jacket,44
2023-01-12,Store-2,Sweater,37
2023-01-12,Store-2,Boots,25
2023-01-12,Store-2,Jeans,23
2023-01-12,Store-2,Tshirt,31
2023-01-12,Store-2,Scarf,26
2023-01-12,Store-3,Jacket,37
2023-01-12,Store-3,Sweater,33
2023-01-12,Store-3,Boots,26
2023-01-12,Store-3,Jeans,18
2023-01-12,Store-3,Tshirt,25
2023-01-12,Store-3,Scarf,24
2023-01-13,Store-1,Jacket,35
2023-01-13,Store-1,Sweater,33
2023-01-13,Store-1,Boots,24
2023-01-13,Store-1,Jeans,21
2023-01-13,Store-1,Tshirt,25
2023-01-13,Store-1,Scarf,23
2023-01-13,Store-2,Jacket,38
2023-01-13,Store-2,Sweater,38
2023-01-13,Store-2,Boots,26
2023-01-13,Store-2,Jeans,23
2023-01-13,Store-2,Tshirt,30
2023-01-13,Store-2,Scarf,23
2023-01-13,Store-3,Jacket,36
2023-01-13,Store-3,Sweater,32
2023-01-13,Store-3,Boots,24
2023-01-13,Store-3,Jeans,17
2023-01-13,Store-3,Tshirt,25
2023-01-13,Store-3,Scarf,20
2023-01-14,Store-1,Jacket,38
2023-01-14,Store-1,Sweater,34
2023-01-14,Store-1,Boots,28
2023-01-14,Store-1,Jeans,22
2023-01-14,Store-1,Tshirt,28
2023-01-14,Store-1,Scarf,25
2023-01-14,Store-2,Jacket,49
2023-01-14,Store-2,Sweater,40
2023-01-14,Store-2,Boots,30
2023-01-14,Store-2,Jeans,27
2023-01-14,Store-2,Tshirt,34
2023-01-14,Store-2,Scarf,29
2023-01-14,Store-3,Jacket,43
2023-01-14,Store-3,Sweater,34
2023-01-14,Store-3,Boots,30
2023-01-14,Store-3,Jeans,22
2023-01-14,Store-3,Tshirt,25
2023-01-14,Store-3,Scarf,28
2023-01-15,Store-1,Jacket,42
2023-01-15,Store-1,Sweater,37
2023-01-15,Store-1,Boots,28
2023-01-15,Store-1,Jeans,26
2023-01-15,Store-1,Tshirt,27
2023-01-15,Store-1,Scarf,26
2023-01-15,Store-2,Jacket,49
2023-01-15,Store-2,Sweater,38
2023-01-15,Store-2,Boots,34
2023-01-15,Store-2,Jeans,29
2023-01-15,Store-2,Tshirt,35
2023-01-15,Store-2,Scarf,26
2023-01-15,Store-3,Jacket,38
2023-01-15,Store-3,Sweater,35
2023-01-15,Store-3,Boots,25
2023-01-15,Store-3,Jeans,24
2023-01-15,Store-3,Tshirt,27
2023-01-15,Store-3,Scarf,26
2023-01-16,Store-1,Jacket,39
2023-01-16,Store-1,Sweater,36
2023-01-16,Store-1,Boots,24
2023-01-16,Store-1,Jeans,22
2023-01-16,Store-1,Tshirt,26
2023-01-16,Store-1,Scarf,20
2023-01-16,Store-2,Jacket,40
2023-01-16,Store-2,Sweater,37
